ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
jmetal.problems.cec2009Competition.UF6;6;0;4;3;0;0;0;0;0;0;7;43;2;0;3;0;3;0;0;0;2;2;2;1;0;0;6;0;2;2;
jmetal.operators.selection.BinaryTournament;2;0;5;0;0;0;1;0;0;0;6;16;1;0;2;0;2;0;0;0;0;0;2;2;1;0;6;0;2;3;
jmetal.problems.cec2009Competition.UF5;6;0;3;3;0;0;0;0;0;0;6;38;2;0;3;0;3;0;0;0;2;2;2;1;0;0;6;0;2;2;
jmetal.util.comparators.RankComparator;1;0;4;0;0;0;0;0;0;0;4;9;0;0;1;0;1;0;0;0;0;0;2;2;0;0;2;0;1;2;
jmetal.encodings.solutionType.ArrayRealAndBinarySolutionType;5;0;0;0;0;0;0;0;0;0;0;6;2;0;2;0;2;0;0;0;0;2;1;0;0;0;5;0;0;0;
jmetal.metaheuristics.singleObjective.evolutionStrategy.ES_main;1;0;0;0;0;0;0;0;0;0;0;15;0;0;1;0;1;1;0;0;0;0;1;1;0;1;8;0;0;0;
jmetal.experiments.settings.SPEA2_Settings;1;1;0;0;0;0;0;0;0;1;1;54;7;0;3;0;3;0;0;0;1;0;1;1;0;0;14;0;0;1;
jmetal.experiments.settings.MOEAD_DRA_Settings;1;1;0;0;0;0;0;0;0;1;1;64;11;0;3;0;3;0;0;0;1;0;1;1;0;0;13;0;0;1;
jmetal.qualityIndicator.fastHypervolume.wfg.PointComparator;1;0;3;1;0;0;0;0;0;0;4;11;1;0;3;1;2;0;0;0;0;3;2;2;0;0;1;0;1;3;
jmetal.encodings.variable.Permutation;1;0;0;3;0;0;0;0;0;0;3;21;2;0;6;0;6;0;0;0;0;1;1;0;0;0;1;0;0;1;
jmetal.metaheuristics.randomSearch.RandomSearch;5;0;0;1;0;0;0;0;0;0;1;11;0;0;2;0;2;0;0;0;0;0;1;0;0;0;6;0;0;1;
jmetal.encodings.variable.ArrayReal;6;0;4;2;0;0;0;0;0;0;6;37;3;0;10;1;9;0;0;0;0;6;2;0;0;0;5;4;0;1;
jmetal.util.archive.SPEA2DensityArchive;5;0;4;0;0;0;1;0;0;0;5;20;4;0;2;0;2;0;0;0;0;1;1;0;0;0;6;0;1;4;
jmetal.core.SolutionType;5;0;0;1;0;0;0;0;0;0;1;6;1;0;3;0;3;0;0;0;0;0;2;1;0;1;0;0;0;1;
jmetal.problems.singleObjective.Griewank;6;0;2;2;0;0;0;0;0;0;4;21;0;0;2;0;2;0;0;0;1;0;2;1;0;0;6;0;1;2;
jmetal.operators.mutation.PolynomialBitFlipMutation;8;0;9;2;0;0;0;0;0;0;11;39;6;0;3;0;3;0;0;0;0;0;5;4;1;0;10;1;2;3;
jmetal.problems.FourBarTruss;5;0;2;1;0;0;0;0;0;0;3;27;4;0;2;0;2;0;0;0;1;0;1;0;0;0;6;0;1;2;
jmetal.metaheuristics.singleObjective.geneticAlgorithm.acGA;5;0;3;2;0;0;1;0;0;0;6;41;1;0;2;0;2;0;0;0;0;0;1;0;0;0;7;0;1;3;
jmetal.operators.crossover.CrossoverFactory;1;0;7;0;0;0;0;0;0;0;7;16;0;0;1;0;1;1;0;0;1;0;1;1;0;0;3;1;1;7;
jmetal.operators.selection.RankingAndCrowdingSelection;2;0;4;2;0;0;1;0;0;0;7;24;3;0;2;0;2;0;0;0;0;0;2;2;1;0;9;0;2;2;
jmetal.test.experiments.settings.GDE3_SettingsTest;0;0;0;0;0;0;0;0;0;0;0;10;1;0;3;0;3;0;0;0;0;0;0;0;0;0;16;0;0;0;
jmetal.metaheuristics.densea.DENSEA_main;1;0;0;0;0;0;0;0;0;0;0;24;2;0;1;0;1;1;0;0;0;0;1;1;0;1;14;0;0;0;
jmetal.problems.WFG.Transformations;1;0;3;3;0;0;0;0;0;0;6;37;1;0;9;0;8;0;0;0;0;23;3;3;0;3;2;1;2;2;
