ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
org.objectweb.asm.tree.MultiANewArrayInsnNode;26;0;0;0;0;0;0;0;0;0;0;7;2;0;4;0;4;0;0;0;1;1;2;1;1;0;3;0;0;0;
org.objectweb.asm.commons.InstructionAdapter;30;0;34;0;0;0;0;176;9;0;210;665;1;0;95;0;94;0;0;0;37;27;66;8;0;5;5;9;3;11;
org.objectweb.asm.Context;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
org.objectweb.asm.tree.ClassNode;25;0;13;8;2;0;0;0;0;0;23;79;19;0;14;0;14;0;0;0;19;10;6;3;0;2;10;2;3;2;
org.objectweb.asm.tree.ParameterNode;25;0;0;0;0;0;0;0;0;0;0;3;2;0;2;0;2;0;0;0;1;1;1;0;0;0;1;0;0;0;
org.objectweb.asm.TypeReference;0;0;0;0;0;0;0;0;0;0;0;19;23;0;18;0;18;8;0;0;0;13;0;0;0;0;0;0;0;0;
org.objectweb.asm.signature.SignatureVisitor;0;0;1;0;0;0;0;0;0;0;1;12;4;0;17;0;17;0;0;0;4;3;0;0;0;0;1;1;0;1;
org.objectweb.asm.commons.RemappingAnnotationAdapter;11;0;0;0;0;0;0;0;0;0;0;7;1;0;6;0;5;0;0;0;7;1;5;1;0;0;2;0;0;0;
org.objectweb.asm.ByteVector;1;0;15;3;0;0;0;0;0;0;18;91;2;0;11;1;8;0;0;0;1;12;1;1;0;1;0;0;1;5;
org.objectweb.asm.util.Printer;28;0;9;2;0;0;3;0;0;0;14;57;6;0;54;0;52;2;0;0;50;45;38;17;1;9;8;7;2;9;
org.objectweb.asm.tree.analysis.SmallSet;2;0;11;0;0;0;0;0;0;0;11;32;1;0;8;0;5;1;0;0;0;0;3;0;1;0;5;1;2;3;
org.objectweb.asm.ClassWriter;25;1;80;6;0;1;7;0;0;1;95;391;81;0;44;6;22;0;0;0;55;27;15;7;0;2;0;3;8;12;
org.objectweb.asm.tree.InvokeDynamicInsnNode;26;0;0;0;0;0;0;0;0;0;0;9;4;0;4;0;4;0;0;0;2;0;4;2;1;0;4;0;0;0;
org.objectweb.asm.util.ASMifier;26;0;73;21;0;0;0;21;3;0;115;664;6;0;64;2;55;2;0;0;55;55;45;19;0;12;13;0;23;21;
org.objectweb.asm.FieldWriter;25;0;37;0;0;0;0;0;0;0;37;108;11;0;7;0;4;0;0;0;5;4;5;1;0;0;0;0;3;2;
