ClassId;Dependencies;tryStatement;ifStatement;forStatement;enhancedForStatement/* foreach */;doStatement;whileStatement;switchCase;switchStatement;catchClause;totalBranches;numOfStatements;FieldDeclaration;synchronizedStatement;methodDeclaration;privateMethod;publicMethod;staticMethod;anonymousClassDeclaration;nbMemberClasses;nbStringParams;nbPrimitiveParams;nbOtherTypesParams;nbOtherTypesParamsLibrary;parameterizedTypeParam;arrayTypeParam;javaImports;trowStatement;NestedBlocks;MaxDepth
net.sf.javaml.distance.fastdtw.dtw.MemoryResidentMatrix;1;0;2;1;0;0;0;0;0;0;3;15;4;0;4;0;3;0;0;0;0;5;1;0;0;0;0;1;0;1;
net.sf.javaml.core.AbstractInstance;2;0;4;9;0;0;0;0;0;0;13;58;5;0;20;0;18;0;0;1;0;4;7;3;0;0;1;1;0;1;
net.sf.javaml.classification.meta.SimpleBagging;3;0;0;2;1;0;0;0;0;0;3;11;3;0;3;0;3;0;0;0;0;0;3;1;0;1;7;0;0;1;
net.sf.javaml.clustering.evaluation.CIndex;2;0;2;3;0;0;0;0;0;0;5;14;1;0;3;0;3;0;0;0;0;2;2;1;0;1;3;0;1;4;
net.sf.javaml.filter.discretize.ThreeBinMinimalEntropyPartitioning;3;0;12;4;8;0;2;0;0;0;26;77;13;0;11;6;5;0;0;0;0;12;5;1;1;0;14;1;6;5;
net.sf.javaml.clustering.mcl.MCL;2;0;5;8;0;0;0;0;0;0;13;36;5;0;3;0;3;0;0;0;0;4;3;0;0;0;7;1;4;4;
net.sf.javaml.clustering.evaluation.WB;2;0;0;5;0;0;0;0;0;0;5;17;1;0;3;0;3;0;0;0;0;2;2;1;0;1;3;0;1;4;
net.sf.javaml.clustering.evaluation.TraceScatterMatrix;1;0;0;4;0;0;0;0;0;0;4;15;1;0;2;0;2;0;0;0;0;2;1;1;0;1;6;0;1;2;
net.sf.javaml.distance.ConsistencyIndex;1;0;1;2;0;0;0;0;0;0;3;11;2;0;2;0;2;0;0;0;0;1;2;0;0;0;2;0;0;1;
net.sf.javaml.clustering.mcl.SparseVector;5;0;4;2;13;0;0;0;0;0;19;66;2;0;26;1;25;0;0;0;0;12;8;4;0;1;4;0;2;2;
net.sf.javaml.filter.normalize.NormalizeMeanIQR135;2;0;3;1;1;0;0;0;0;0;5;16;2;0;5;0;5;0;0;0;0;0;3;0;0;0;5;1;0;1;
net.sf.javaml.classification.KDtreeKNN;2;0;4;0;5;0;0;0;0;0;9;20;4;0;3;0;3;0;0;0;0;1;2;0;0;0;11;1;2;2;
net.sf.javaml.tools.data.FileHandler;3;0;8;1;2;0;0;0;0;0;11;34;0;0;10;1;9;10;0;0;6;6;13;9;0;0;11;0;2;3;
net.sf.javaml.distance.AngularDistance;1;0;3;0;0;0;0;0;0;0;3;11;1;0;3;2;1;2;0;0;0;0;4;0;0;0;1;0;0;1;
net.sf.javaml.tools.DatasetTools;3;0;7;8;8;0;1;0;0;0;24;64;0;0;11;1;10;11;0;0;0;3;14;2;0;0;7;0;6;4;
net.sf.javaml.distance.fastdtw.matrix.ColMajorCell;1;0;0;0;0;0;0;0;0;0;0;7;2;0;6;0;6;0;0;0;0;2;1;1;0;0;0;0;0;0;
tutorials.core.TutorialDenseInstance;1;0;0;0;0;0;0;0;0;0;0;6;0;0;1;0;1;1;0;0;0;0;1;1;0;1;2;0;0;0;
net.sf.javaml.distance.CosineSimilarity;1;0;2;1;0;0;0;0;0;0;3;10;1;0;1;0;1;0;0;0;0;0;2;0;0;0;1;1;0;1;
net.sf.javaml.utils.ActiveSetsOptimization;5;0;143;43;0;0;6;0;0;0;192;523;15;0;19;1;14;1;0;1;0;10;19;17;0;15;2;13;19;8;
tutorials.featureselection.TutorialFeatureScoring;1;0;0;1;0;0;0;0;0;0;1;4;0;0;1;0;1;1;0;0;0;0;1;1;0;1;4;0;0;1;
net.sf.javaml.matrix.MemoryMatrix;0;0;0;0;0;0;0;0;0;0;0;5;1;0;5;0;5;0;0;0;0;7;0;0;0;0;0;0;0;0;
net.sf.javaml.distance.fastdtw.timeseries.TimeSeriesPoint;2;0;8;4;0;0;0;0;0;0;12;43;2;0;9;0;9;0;0;0;0;4;2;2;0;0;3;1;3;4;
net.sf.javaml.filter.instance.FloorValueFilter;1;0;0;0;1;0;0;0;0;0;1;2;0;0;1;0;1;0;0;0;0;0;1;0;0;0;2;0;0;1;
